"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 07:41:16 GMT 2023","Tue Jan 17 07:41:17 GMT 2023","371","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
"passed","Tue Jan 17 07:41:17 GMT 2023","Tue Jan 17 07:41:17 GMT 2023","791","tests","test_e2e","TestLoginPage","","","test_e2e",""
"broken","Tue Jan 17 07:41:37 GMT 2023","Tue Jan 17 07:41:42 GMT 2023","5052","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Tue Jan 17 07:41:21 GMT 2023","Tue Jan 17 07:41:22 GMT 2023","164","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Tue Jan 17 07:41:26 GMT 2023","Tue Jan 17 07:41:26 GMT 2023","120","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Tue Jan 17 07:41:21 GMT 2023","Tue Jan 17 07:41:21 GMT 2023","111","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
"passed","Tue Jan 17 07:41:28 GMT 2023","Tue Jan 17 07:41:28 GMT 2023","140","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"passed","Tue Jan 17 07:41:30 GMT 2023","Tue Jan 17 07:41:30 GMT 2023","397","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Tue Jan 17 07:41:24 GMT 2023","Tue Jan 17 07:41:24 GMT 2023","150","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"passed","Tue Jan 17 07:41:23 GMT 2023","Tue Jan 17 07:41:23 GMT 2023","169","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"broken","Tue Jan 17 07:41:29 GMT 2023","Tue Jan 17 07:41:34 GMT 2023","5062","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"passed","Tue Jan 17 07:41:19 GMT 2023","Tue Jan 17 07:41:19 GMT 2023","119","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
