"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 00:59:08 GMT 2023","Tue Jan 17 00:59:08 GMT 2023","228","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Tue Jan 17 00:59:12 GMT 2023","Tue Jan 17 00:59:12 GMT 2023","169","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"passed","Tue Jan 17 00:59:03 GMT 2023","Tue Jan 17 00:59:03 GMT 2023","327","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
"passed","Tue Jan 17 00:59:11 GMT 2023","Tue Jan 17 00:59:11 GMT 2023","175","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Tue Jan 17 00:59:08 GMT 2023","Tue Jan 17 00:59:09 GMT 2023","283","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"passed","Tue Jan 17 00:59:03 GMT 2023","Tue Jan 17 00:59:03 GMT 2023","341","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
"broken","Tue Jan 17 00:59:15 GMT 2023","Tue Jan 17 00:59:20 GMT 2023","5077","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"broken","Tue Jan 17 00:59:22 GMT 2023","Tue Jan 17 00:59:28 GMT 2023","5066","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Tue Jan 17 00:59:15 GMT 2023","Tue Jan 17 00:59:16 GMT 2023","533","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Tue Jan 17 00:59:05 GMT 2023","Tue Jan 17 00:59:06 GMT 2023","408","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Tue Jan 17 00:59:06 GMT 2023","Tue Jan 17 00:59:06 GMT 2023","322","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
