"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 06:57:55 GMT 2023","Tue Jan 17 06:57:56 GMT 2023","335","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
"passed","Tue Jan 17 06:58:07 GMT 2023","Tue Jan 17 06:58:07 GMT 2023","391","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Tue Jan 17 06:57:58 GMT 2023","Tue Jan 17 06:57:58 GMT 2023","251","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"broken","Tue Jan 17 06:58:07 GMT 2023","Tue Jan 17 06:58:12 GMT 2023","5049","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"passed","Tue Jan 17 06:58:01 GMT 2023","Tue Jan 17 06:58:01 GMT 2023","227","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"passed","Tue Jan 17 06:58:03 GMT 2023","Tue Jan 17 06:58:03 GMT 2023","138","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Tue Jan 17 06:57:55 GMT 2023","Tue Jan 17 06:57:56 GMT 2023","334","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
"passed","Tue Jan 17 06:58:05 GMT 2023","Tue Jan 17 06:58:05 GMT 2023","151","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"broken","Tue Jan 17 06:58:14 GMT 2023","Tue Jan 17 06:58:19 GMT 2023","5049","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Tue Jan 17 06:58:01 GMT 2023","Tue Jan 17 06:58:01 GMT 2023","190","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Tue Jan 17 06:57:58 GMT 2023","Tue Jan 17 06:57:58 GMT 2023","268","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
