"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 06:46:53 GMT 2023","Tue Jan 17 06:46:53 GMT 2023","271","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
"passed","Tue Jan 17 06:46:53 GMT 2023","Tue Jan 17 06:46:53 GMT 2023","255","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
"passed","Tue Jan 17 06:46:56 GMT 2023","Tue Jan 17 06:46:56 GMT 2023","228","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
"passed","Tue Jan 17 06:47:04 GMT 2023","Tue Jan 17 06:47:05 GMT 2023","351","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Tue Jan 17 06:47:01 GMT 2023","Tue Jan 17 06:47:01 GMT 2023","127","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Tue Jan 17 06:47:02 GMT 2023","Tue Jan 17 06:47:02 GMT 2023","166","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"passed","Tue Jan 17 06:46:58 GMT 2023","Tue Jan 17 06:46:58 GMT 2023","221","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Tue Jan 17 06:46:56 GMT 2023","Tue Jan 17 06:46:56 GMT 2023","187","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Tue Jan 17 06:46:58 GMT 2023","Tue Jan 17 06:46:58 GMT 2023","203","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"broken","Tue Jan 17 06:47:12 GMT 2023","Tue Jan 17 06:47:17 GMT 2023","5051","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"broken","Tue Jan 17 06:47:04 GMT 2023","Tue Jan 17 06:47:09 GMT 2023","5069","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
