"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 17 07:04:11 GMT 2023","Tue Jan 17 07:04:16 GMT 2023","5063","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"passed","Tue Jan 17 07:04:07 GMT 2023","Tue Jan 17 07:04:07 GMT 2023","127","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Tue Jan 17 07:04:09 GMT 2023","Tue Jan 17 07:04:09 GMT 2023","151","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"broken","Tue Jan 17 07:04:18 GMT 2023","Tue Jan 17 07:04:23 GMT 2023","5059","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Tue Jan 17 07:04:02 GMT 2023","Tue Jan 17 07:04:02 GMT 2023","121","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
"passed","Tue Jan 17 07:04:05 GMT 2023","Tue Jan 17 07:04:05 GMT 2023","215","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"passed","Tue Jan 17 07:04:11 GMT 2023","Tue Jan 17 07:04:11 GMT 2023","351","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Tue Jan 17 07:04:05 GMT 2023","Tue Jan 17 07:04:05 GMT 2023","202","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Tue Jan 17 07:04:02 GMT 2023","Tue Jan 17 07:04:03 GMT 2023","181","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Tue Jan 17 07:04:00 GMT 2023","Tue Jan 17 07:04:00 GMT 2023","277","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
"passed","Tue Jan 17 07:04:00 GMT 2023","Tue Jan 17 07:04:00 GMT 2023","240","tests","test_inventory_page","TestInventory","","","test_add_items_to_cart",""
